date,USD/KRW,JPY/KRW,EUR/KRW
2026-01-09,1450.0799560546875,9.242850303649902,1690.2900390625
2026-01-12,1455.239990234375,9.201266288757324,1700.1300048828125
2026-01-13,1464.9300537109375,9.272107124328613,1708.72998046875
2026-01-14,1473.010009765625,9.253552436828613,1715.06005859375
2026-01-15,1462.9000244140625,9.234827995300293,1703.25
2026-01-16,1468.8399658203125,9.260924339294434,1704.5999755859375
2026-01-19,1471.5799560546875,9.340578079223633,1703.5899658203125
2026-01-20,1471.52001953125,9.302349090576172,1713.239990234375
2026-01-21,1477.780029296875,9.344314575195312,1732.219970703125
2026-01-22,1464.8299560546875,9.247084617614746,1710.760009765625
2026-01-23,1463.260009765625,9.232701301574707,1719.9300537109375
2026-01-26,1444.81005859375,9.306953430175781,1707.6099853515625
2026-01-27,1440.97998046875,9.336503982543945,1711.5400390625
2026-01-28,1432.510009765625,9.396158218383789,1723.52001953125
2026-01-29,1429.27001953125,9.33646011352539,1711.5
2026-01-30,1428.760009765625,9.328102111816406,1709.699951171875
2026-02-02,1448.800048828125,9.333247184753418,1726.800048828125
2026-02-03,1452.5400390625,9.346574783325195,1712.31005859375
2026-02-04,1446.6800537109375,9.285673141479492,1709.06005859375
2026-02-05,1460.1099853515625,9.30538272857666,1722.9100341796875
2026-02-06,1470.6800537109375,9.381051063537598,1732.3299560546875
2026-02-09,1462.4000244140625,9.294440269470215,1726.2900390625
2026-02-10,1458.5400390625,9.341232299804688,1737.0799560546875
2026-02-11,1455.3299560546875,9.420312881469727,1729.8299560546875
2026-02-12,1444.18994140625,9.42249870300293,1714.510009765625
2026-02-13,1440.9000244140625,9.426426887512207,1710.4300537109375
2026-02-16,1439.52001953125,9.415245056152344,1687.25
2026-02-17,1440.22998046875,9.375215530395508,1705.97998046875
2026-02-18,1439.969970703125,9.40063190460205,1706.52001953125
2026-02-19,1440.1600341796875,9.309102058410645,1696.97998046875
2026-02-20,1447.75,9.330300331115723,1703.739990234375
2026-02-23,1443.43994140625,9.356864929199219,1700.93994140625
2026-02-24,1442.199951171875,9.324819564819336,1699.5
2026-02-25,1439.989990234375,9.237456321716309,1695.239990234375
2026-02-26,1426.9300537109375,9.134690284729004,1685.3699951171875
2026-02-27,1432.3199462890625,9.190692901611328,1689.5400390625
2026-03-02,1438.5,9.179009437561035,1696.6600341796875
2026-03-03,1452.27001953125,9.234922409057617,1698.1700439453125
2026-03-04,1483.0699462890625,9.40056037902832,1723.4000244140625
2026-03-05,1460.75,9.305665969848633,1699.489990234375
